F,NT,fit_time,predict_time,fit_accuracy,predict_accuracy,bkblk,bknwy,bkon8,bkona,bkspr,bkxbq,bkxcr,bkxwp,blxwp,bxqsq,cntxt,dsopp,dwipd,hdchk,katri,mulch,qxmsq,r2ar8,reskd,reskr,rimmx,rkxwp,rxmsq,simpl,skach,skewr,skrxp,spcop,stlmt,thrsk,wkcti,wkna8,wknck,wkovl,wkpos,wtoeg
9,1,0.77,0.064,0.682,0.694,0,0,9,0,0,0,0,0,0,0,6,16,0,0,0,6,1,0,0,0,6,0,6,0,0,0,0,0,0,0,4,4,0,0,0,0
9,10,1.704,0.13,0.912,0.902,4,9,22,33,3,9,0,16,0,17,6,23,4,14,0,37,2,35,8,37,23,40,22,66,11,4,18,2,15,32,43,20,19,0,26,0
9,25,2.278,0.278,0.901,0.895,5,42,32,115,16,32,17,38,37,46,34,60,94,25,25,110,5,89,33,56,35,100,45,129,20,42,66,5,40,50,76,37,72,46,54,4
9,50,4.214,0.958,0.941,0.933,18,93,67,164,120,108,65,160,89,180,119,134,221,35,140,136,28,139,52,83,115,180,85,160,25,71,96,11,62,101,191,82,163,137,74,20
9,75,5.372,2.01,0.934,0.922,23,111,132,248,206,148,114,225,119,195,132,168,325,55,275,161,48,259,82,172,163,281,127,307,37,122,133,20,113,114,246,118,255,208,139,43
9,100,8.303,2.046,0.936,0.915,72,148,199,291,209,228,214,272,146,314,242,244,464,63,378,189,79,326,97,216,221,346,201,475,48,186,163,25,141,185,276,173,344,318,162,80
18,1,6.62,0.078,0.866,0.872,0,0,9,0,0,88,0,0,59,0,7,18,0,4,0,12,1,0,0,0,8,0,8,0,0,0,0,1,6,16,3,7,56,40,0,20
18,10,12.034,0.406,0.995,0.966,36,118,88,150,242,334,193,70,59,96,115,181,81,22,369,65,31,175,14,183,59,144,45,259,30,36,69,4,20,107,213,53,351,258,248,208
18,25,22.795,2.73,0.996,0.969,92,330,142,539,484,882,353,168,168,418,322,371,237,47,854,217,98,616,51,495,302,339,145,1215,57,298,198,12,63,237,462,168,837,677,654,410
18,50,40.46,10.671,0.995,0.974,275,512,352,845,1002,1882,667,453,599,1032,611,729,813,91,1407,622,176,1059,86,976,588,651,369,1538,101,827,549,23,131,427,881,344,1455,1422,994,936
18,75,57.532,21.962,0.995,0.974,484,651,621,1243,1643,2403,991,774,945,1588,1130,940,1330,126,1978,816,288,1493,155,1347,899,933,515,2126,154,1383,742,37,235,634,1170,563,2032,2147,1465,1450
18,100,80.031,22.941,0.996,0.973,571,788,890,1673,2420,3037,1478,1029,1310,2386,1566,1410,2258,165,2493,1020,449,2287,215,1540,1181,1281,773,3161,196,2212,966,47,307,830,1512,710,2940,2764,2063,1796
27,1,29.413,0.11,0.932,0.893,0,31,14,0,0,140,102,38,78,0,9,23,149,4,79,12,1,107,0,0,8,0,9,0,8,147,24,1,7,18,3,7,72,37,0,23
27,10,48.068,1.236,1.0,0.961,88,164,141,278,606,620,915,344,134,372,473,253,1239,21,835,166,74,603,27,194,395,803,72,749,57,715,123,5,24,268,354,112,1152,626,286,659
27,25,80.035,9.5,1.0,0.97,414,424,361,846,1736,2297,1497,494,363,1202,1141,838,1627,50,1869,540,246,1676,88,809,1214,1487,266,2328,113,1434,366,15,80,533,878,236,2875,1465,1156,1469
27,50,141.64,37.593,1.0,0.979,903,918,707,1605,2944,3769,2433,1006,1499,2231,1788,1853,3014,110,3758,1404,327,3012,195,1519,2356,2271,729,5197,220,3018,975,34,165,937,1598,533,4813,2891,2574,2741
27,75,200.656,82.269,1.0,0.977,1387,1333,1171,2563,4778,5577,3648,1672,2368,3538,2736,2740,5125,153,5163,1895,578,4146,298,2280,3380,3058,960,7545,299,4175,1658,54,294,1546,2241,896,7012,4199,3859,4259
27,100,288.368,81.51,1.0,0.976,1788,1719,1543,3563,6601,7310,4699,2590,3218,5133,3646,4014,7264,205,6662,2354,928,5970,383,2999,4593,4094,1292,9872,400,5340,2076,69,372,1977,3326,1197,9460,5185,5327,5749
random,1,23.835,0.103,0.911,0.878,0,32,10,0,0,140,0,37,78,0,9,23,138,4,78,12,1,98,0,0,8,0,9,0,0,117,24,1,7,18,3,7,79,38,0,22
random,10,78.865,0.685,1.0,0.942,45,161,64,105,149,455,197,113,78,221,162,305,627,17,429,95,63,434,20,87,197,310,61,401,30,428,96,3,21,135,210,61,415,370,234,538
random,25,85.298,4.958,1.0,0.958,185,411,190,383,856,958,286,239,169,708,683,545,1265,37,866,260,177,944,70,531,801,633,199,1132,64,869,221,8,49,346,544,115,1120,962,849,1207
random,50,115.571,22.916,1.0,0.975,642,751,424,1036,1980,2461,1260,616,798,1576,1312,1230,2234,70,2165,766,250,1999,161,1162,1617,1211,466,2608,142,1775,637,22,113,671,1066,320,2586,1565,1835,2314
random,75,150.324,55.782,1.0,0.973,946,911,668,1507,3255,4251,1800,992,1120,2458,1869,1710,3628,97,2999,1097,350,2781,211,1793,2059,1552,724,4090,207,2398,1017,37,198,987,1482,503,3631,2579,2424,3232
random,100,261.847,47.022,1.0,0.972,1162,1187,916,2223,4504,5510,2368,1641,1522,3156,2477,2361,4411,140,3816,1451,602,3950,272,2399,2926,2073,963,5378,267,3337,1294,47,253,1328,2199,724,5112,3237,3315,4216